325.14942,459.99901
325.14942,416.37138
352.91245,382.65913
329.11557,367.78607
387.61625,362.82838
410.4216,381.66759
437.1931,375.71837
508.58376,343.98918
588.89826,325.14998
684.08581,320.19229
757.45952,351.92148
826.86717,380.67605
943.8685,396.54064
983.52993,409.43062
1013.276,431.24444
1015.2591,463.96516
1023.1915,477.84667
997.41153,487.76204
898.01704,485.5315
899.00856,445.87002
892.06785,429.0139
877.19475,417.11545
841.74019,411.41369
825.87558,413.39677
809.01945,415.37984
800.09562,419.34598
794.14643,430.25289
783.23952,448.10056
783.23952,469.91437
782.248,487.76204
526.43143,489.74511
527.42296,459.999
521.47374,442.15134
501.643,419.34599
470.90535,411.41369
438.18463,412.40524
415.37929,423.31214
405.46392,441.1598
401.49777,467.9313
400.50623,482.80436
401.49777,490.73665
325.14942,477.84667
322.17481,471.89745
311.26791,470.90591
312.25944,448.10057
